id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies,replies.id,replies.user,replies.date,replies.timestamp,replies.commentText,replies.likes
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371795930281,Василий Козлов,1 day ago,1502446218026,"Всегда испытываю странное чувство, когда ставлю ""Мне понравилось"", потому что то о чем идет речь, мне совсем не нравится.",23
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371838685581,Артем Абрамов,1 day ago,1502446218028,Павел ман уголовники долго на воле не задерживаются.,2
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371842706478,Алексей Ли,1 day ago,1502446218029,"Kevin Drexler нет не в гараже мвд,в просторечье хозо,компания которая выиграла гос.закупку и оборудуют эти автомобили,в хозо занимаются лишь тех.обслуживанием и ремонтом,машины уже приходят оборудованные",6
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371843269330,FReIMEnigma,1 day ago,1502446218031,В топ.,10
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371845042978,MrSchweppes,1 day ago,1502446218033,"Мистер НеКарнаух, посмотри последнее видео Камикадзе.",6
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371872523423,Alec,1 day ago,1502446218034,Путина и всех этих его продажных силовиков - воров на нары!!!,16
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371880062506,Владимир Ленин,1 day ago,1502446218036,Нечего себе тут кремлеботов!,13
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371954790112,Sv Sm,1 day ago,1502446218038,"Августу Джексон,так,Ленин,я хоть в какойто мере тобой немного восхищаюсь,но больше никаких красных революций,только демократические,окда,договорились?",1
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502371984423632,Михаил Добрый,1 day ago,1502446218040,"Дмитрий, так и с Собчак интервью всё показало, что Карнавальный знать не знает куда оно вообще лезет со своим пустым популизмом для школоты и тупых взрослых.",9
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372040693660,Василий Васильков,1 day ago,1502446218041,"Любка хорошо выглядит, вся прям сияет;)",16
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372044002708,Виктор Ткаченко,1 day ago,1502446218043,"Вова М довыебывался воин против Кремля со свей мания величия, щас его языком будут жопы вытирать, а потом он скажет извените был не прав.",0
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372057745965,Shepards,1 day ago,1502446218045,"а как же спец. оборудование, которого нету в ваших розничных ценах с которыми сравниваете?",5
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372092451281,Андрей Савин,1 day ago,1502446218047,Василий Васильков Я бы Любку поебал хороша сучка.,6
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372104406593,Сергей Иванов,1 day ago,1502446218048,"Копните закупки, которые делает ФСБ и вы окуеете.",12
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372112678219,Алексей Ли,1 day ago,1502446218050,"Li Harvey Oswald забавно что ты свое любимое занятие другим приписываешь, ты в своем гей кружке занимайся этим,а к нормальным людям не лезь,пиши таким же чухонам полупокерным как ты и долбитесь там по тихому,да пердак береги,тебе еще работать им и работать",1
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372180864748,Leonardo Stepanov,1 day ago,1502446218052,Алексей Навальный  в каком городе вы живёте?,1
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372211322636,Ss Ss,1 day ago,1502446218054,Shepards спецоборудование устанавливает само МВД на уже купленные обычные автомобили.,12
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372225893999,Rock Savage,1 day ago,1502446218055,"Что за чудеса, я был подписан на этот канал (канал Алексей Навальный), а сегодня зашел и оказывается я уже не подписан. Что это за дела?",15
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372281047650,Тимон Пумба,1 day ago,1502446218057,"А что вы хотите? Свободный рынок, он так и работает)",1
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372326584110,FoxsaSuper! //,1 day ago,1502446218059,в топ!,11
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372389138752,funny page show,1 day ago,1502446218060,"чтобы ""ребята"" могли помочь поднять видео в топ, т.е. сделать что-то большее, чем поставить лайк+коммент, у них должно быть нecколько аккаутов, т.е. вы призывайте людей создавать ботов и фактически ""накручивать"" вас лайки, комменты и просмотры?😁",0
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372412100261,ValeRik,1 day ago,1502446218062,Алексей Навальный БЛЯ СМОТРИТЕ У МЕНЯ НА КАНАЛЕ,1
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372526166346,Mike Rowe,1 day ago,1502446218064,"Алексей Навальный , попросили распространить видео,заспамил под в твиттере МВД ссылкой на видео",3
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372530083596,Твоя Совесть,1 day ago,1502446218066,"нельзя такие новости преподносить с улыбкой и лёгкостью.
Любу должно Бомбить! Люба должна Негодовать!",13
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372554256814,Алексей Ли,1 day ago,1502446218067,"Ss Ss нет мвд этим не занимается,этим занимаются компании выигравшие гос.закупку и поставляют уже в той комплектности которая необходима",4
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372621470387,Алексей Ли,1 day ago,1502446218069,"Rock Savage Бог пытается уберечь убогих и сирых,призадумайся над этим",0
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372679235103,Виктор Ткаченко,1 day ago,1502446218071,Rock Savage  А ты деньги выслал за подписку.,0
,,,,,,,,z220hnfjtomnex5ndacdp435tktqdxiyd50kvk32idhw03c010c.1502372752705539,Bill Wharton,1 day ago,1502446218072,"следите за коммами, плз",0
