id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies
z23itjnibsitsdpetacdp432h4zoi4gx1ehpahzlnspw03c010c,Alex Dukoff,5 hours ago,1502544734805,"Автор, а снимите видео о том, как Счетная Палата нашла Триллион рублей похищенными в России. Неужели все друзья Путина украли? Мне кажется, вся страна деньги тихо ворует, кто где может, на всех уровнях власти, а гундят на Путина и его команду...Понятно, что друзья Путина  не в обиде....",0,false,0
z23itjnibsitsdpetacdp4313he0ckt4mkiy35pxw0hw03c010c,Alex Dukoff,6 hours ago,1502541134810,"погодите, они еще по этому мосту проезд платный сделают...для внуков кормление будет.",0,false,0
z22dh1gymrvuy1pctacdp431fniik2rp4mikikx4h4pw03c010c,Montag's Dystopia,6 hours ago,1502541134816,Зачем им церковь?,0,false,0
z23xhlkhkqr3wdqpm04t1aokg2sm13jvktdwgewpdgl5rk0h00410,BezKartuza,6 hours ago,1502541134821,маный компот! братья мать их вротенберги блэд!,0,false,0
z22ed14jxpqchjk4z04t1aokggvnpcfnznydk1p4zvrvbk0h00410,Станислав Князь,6 hours ago,1502541134827,охуеть дизлайков накрутили...,0,false,0
z22ocf15triwdh20yacdp435yowjk42l0fx3d050zplw03c010c,sumchatoe,6 hours ago,1502541134832,"Единственный способ для путлера остановить свержение нынешнего режима, это втянуть нас в большую войну, думаю это неизбежно.",0,false,0
z230d1iaqzeau1bmxacdp43azlx5ob1gielh2biw525w03c010c,Денис Сорокин,6 hours ago,1502541134837,Гигантские ОЛИГАРхи,1,false,0
z22dul24usigsbio204t1aokg242qgve13awfwg5sv3qbk0h00410,Ллик Коловратов,7 hours ago,1502537534843,Не пойму Путина почему он отдает заграничным товарищам..,1,false,0
z22dcf25vwnfhdqhf04t1aokg0m3ud4lzaak3eewsjyibk0h00410,NightingalePenguin,7 hours ago,1502537534848,"Видос, конечно, интересный, но несколько странный с политической точки зрения. Благо дальнобойщики исключительно адекватные попались, но были бы они излишне эмоциональные, и все бы вылилось в отголоски ""отнять и поделить"".",1,false,0
z22lcjpbwnbqvb3yi04t1aokgcovhdzysrjpoxe4rdpbrk0h00410,Vertran San,7 hours ago,1502537534853,Сука если вас так заебало давайте устрайвайте революцию мазафисты ебаные,0,false,0
z225utiydtyzjde4m04t1aokg2zikdgytubcykm3wnmzrk0h00410,Евгений Сидоров,7 hours ago,1502537534858,"Георгий! Невооруженным глазом видно, как вы копируете поведение Навального, его жесты, его интонацию, даже фразы некоторые. Будьте собой, а не пародией на кого-то. не в обиду...С уважением...",0,false,0
z23wtvppnwyist02sacdp431akslgzakt020a20susxw03c010c,Тарас Колодий,7 hours ago,1502537536379,Вы не могли дальнобойщиков причесать как-нибудь что ли? чтобы попрезентабельнее выглядели,0,false,0
